frame_id,timestamp,contact_label,dist_raw,dist_local,v_n,a_n,sigma_d,v_t,approach_theta,shadow_score,flow_mag,brightness_contact,dist2d_palm_0,dist2d_palm_5,dist2d_palm_9,dist2d_palm_13,dist2d_palm_17,hull_overlap_ratio,lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
0,1695026652.295671,0,,,0.0000,0.0000,0.0000,0.0000,,123.1196,0.0000,14.8958,356.3570,234.8614,202.6923,184.8676,181.5564,0.000000,0.580227,0.822312,-0.000000,0.513166,0.790080,-0.003814,0.466530,0.698557,0.015174,0.453691,0.629018,0.041517,0.470081,0.612900,0.069412,0.506681,0.566297,0.013187,0.486661,0.471898,0.042280,0.483409,0.426730,0.056581,0.482841,0.385653,0.063352,0.546663,0.564957,0.033434,0.508478,0.543163,0.075678,0.493554,0.577611,0.093539,0.492412,0.609481,0.100057,0.572144,0.587334,0.054649,0.532560,0.569864,0.089116,0.517132,0.600381,0.090655,0.515095,0.627344,0.085911,0.588733,0.609786,0.076152,0.553681,0.596802,0.099766,0.539538,0.618511,0.102333,0.537113,0.649268,0.101641
1,1695026652.304004,0,,,0.0000,0.0000,0.0000,0.0000,61.2407,15.7940,0.0153,14.2492,352.7131,231.3412,198.7798,180.6350,176.5439,0.000000,0.580674,0.823015,-0.000000,0.511548,0.789359,-0.000209,0.464322,0.696259,0.020882,0.454373,0.627160,0.049314,0.474169,0.613783,0.079116,0.504644,0.565244,0.017491,0.485974,0.473541,0.050667,0.482087,0.430105,0.067328,0.481039,0.390328,0.075395,0.544602,0.565272,0.037795,0.509757,0.543837,0.085821,0.496435,0.581581,0.105953,0.496153,0.615112,0.113109,0.570570,0.587839,0.059359,0.533506,0.569597,0.098662,0.519850,0.604136,0.098256,0.519112,0.632863,0.090919,0.587936,0.609424,0.081713,0.554574,0.597515,0.108980,0.541820,0.622629,0.110376,0.540523,0.655493,0.107775
2,1695026652.312337,0,,,0.0000,0.0000,0.0000,0.0000,27.3706,415.3757,0.1533,15.9823,358.4728,236.5407,204.2694,186.5035,182.8321,0.000000,0.580868,0.820879,-0.000000,0.513641,0.789086,-0.004051,0.466679,0.696774,0.016284,0.455352,0.625438,0.044371,0.469370,0.607927,0.074242,0.507047,0.567169,0.015839,0.486745,0.472538,0.047042,0.484406,0.425809,0.062672,0.483848,0.382667,0.070322,0.546871,0.565436,0.037239,0.508168,0.540356,0.081615,0.491488,0.572911,0.100570,0.488215,0.603082,0.107663,0.571962,0.587443,0.059435,0.532638,0.567016,0.095653,0.515715,0.595441,0.097690,0.512040,0.619641,0.092990,0.589666,0.608778,0.081889,0.553886,0.593134,0.107227,0.537950,0.612889,0.110546,0.533929,0.641343,0.110027
3,1695026652.320671,0,,,0.0000,0.0000,0.0000,0.0000,62.8222,17.1579,0.0629,13.4931,354.9767,233.5032,201.2718,183.2056,179.2059,0.000000,0.582182,0.821279,-0.000000,0.513159,0.785368,0.000160,0.466185,0.694431,0.024196,0.454921,0.626024,0.056755,0.471123,0.610264,0.091544,0.506262,0.563577,0.020267,0.486678,0.471358,0.055424,0.482786,0.426668,0.074240,0.481809,0.387300,0.084570,0.545950,0.566955,0.043720,0.509344,0.541145,0.096322,0.494012,0.580180,0.120711,0.491475,0.613667,0.130896,0.570721,0.591590,0.068210,0.533102,0.567710,0.110635,0.517503,0.602311,0.112469,0.514982,0.629993,0.106754,0.587905,0.613747,0.093679,0.553912,0.598314,0.123187,0.538832,0.622304,0.125764,0.534982,0.654116,0.124000
4,1695026652.329004,0,,,0.0000,0.0000,0.0000,0.0000,84.5549,15.4540,0.0646,12.9437,354.8904,234.9720,202.9554,185.1534,181.3148,0.000000,0.580613,0.822901,-0.000000,0.512395,0.783458,0.002797,0.466904,0.692234,0.027852,0.455939,0.625870,0.060859,0.472263,0.613726,0.095893,0.505007,0.563071,0.023842,0.487147,0.470922,0.059845,0.483794,0.425921,0.079064,0.483192,0.386907,0.089725,0.544442,0.567668,0.046892,0.509058,0.539581,0.101016,0.493438,0.578877,0.125943,0.489282,0.612178,0.136429,0.569972,0.592329,0.071096,0.532680,0.568472,0.115605,0.517867,0.606663,0.116873,0.515902,0.637668,0.110447,0.587753,0.613928,0.096434,0.554655,0.601393,0.127247,0.539627,0.627403,0.128814,0.535818,0.660869,0.126093
5,1695026652.337337,0,,,0.0000,0.0000,0.0000,0.0000,74.1172,46.2921,0.0843,13.6613,356.9980,237.1946,204.4550,185.9749,181.5453,0.000000,0.581139,0.821050,-0.000000,0.513452,0.790529,-0.003704,0.466179,0.694605,0.017414,0.456290,0.623832,0.045976,0.471256,0.607604,0.076401,0.508162,0.566793,0.016681,0.487584,0.473815,0.048342,0.484603,0.428296,0.064852,0.483841,0.385473,0.073174,0.547584,0.564418,0.037107,0.508660,0.540378,0.081360,0.491574,0.571410,0.100958,0.487769,0.600477,0.109025,0.572449,0.586504,0.058147,0.532850,0.568004,0.093959,0.515256,0.595076,0.097221,0.510854,0.618206,0.093949,0.589934,0.609000,0.079250,0.554006,0.594919,0.103949,0.537272,0.613608,0.107662,0.532489,0.641473,0.107965
6,1695026652.345671,0,,,0.0000,0.0000,0.0000,0.0000,49.1978,55.9352,0.0782,13.9506,357.1283,235.5433,203.2264,185.5367,182.0941,0.000000,0.581103,0.822537,-0.000000,0.514162,0.788787,-0.005213,0.467036,0.696613,0.014924,0.455066,0.626659,0.042630,0.470609,0.612509,0.072221,0.508592,0.564829,0.017043,0.487620,0.470935,0.049435,0.484418,0.426730,0.066399,0.482987,0.385176,0.074825,0.548200,0.565143,0.038890,0.508464,0.538261,0.082189,0.491773,0.570086,0.100681,0.488504,0.601184,0.108082,0.573610,0.588708,0.061449,0.533358,0.567613,0.096760,0.515751,0.596120,0.098663,0.511515,0.621830,0.094601,0.591076,0.612301,0.084086,0.556876,0.595423,0.108293,0.540062,0.614569,0.110716,0.535157,0.644431,0.110084
7,1695026652.354004,0,,,0.0000,0.0000,0.0000,0.0000,71.4465,567.9835,0.2413,17.1073,355.7203,235.9233,203.7249,185.7666,182.0323,0.000000,0.582056,0.821593,-0.000000,0.514577,0.792589,-0.007218,0.466588,0.694236,0.010255,0.455228,0.620512,0.035025,0.472032,0.607100,0.060858,0.509515,0.569837,0.011685,0.487325,0.474009,0.041656,0.484179,0.427000,0.056849,0.483584,0.383040,0.063677,0.549639,0.566389,0.031998,0.508284,0.544824,0.071847,0.492245,0.583802,0.088316,0.491304,0.617938,0.094574,0.574698,0.588468,0.053084,0.533615,0.570537,0.085781,0.517382,0.602569,0.086860,0.515549,0.630820,0.082105,0.591486,0.612370,0.074038,0.555583,0.599257,0.096375,0.540535,0.621381,0.098462,0.538384,0.652767,0.097487
8,1695026652.362337,0,,,0.0000,0.0000,0.0000,0.0000,71.5031,508.0258,0.2175,17.3140,356.5809,238.5146,206.4115,188.5009,184.5295,0.000000,0.580310,0.823536,-0.000000,0.512708,0.790053,-0.004660,0.465512,0.694995,0.015097,0.455831,0.622110,0.042237,0.473723,0.605909,0.070930,0.507483,0.564959,0.013544,0.487748,0.470153,0.043686,0.485433,0.424987,0.059273,0.485501,0.383186,0.066851,0.547598,0.563007,0.033355,0.507831,0.537477,0.074506,0.492314,0.571534,0.092016,0.491496,0.603607,0.098763,0.573506,0.585946,0.053937,0.532668,0.565686,0.086558,0.516841,0.595540,0.087360,0.514806,0.621268,0.082668,0.591070,0.609944,0.074718,0.555231,0.594702,0.096647,0.540488,0.615536,0.098466,0.538351,0.645466,0.097505
9,1695026652.370671,0,,,0.0000,0.0000,0.0000,0.0000,35.4234,849.4939,0.2254,15.6235,357.7638,235.3684,203.3645,185.5624,182.2003,0.000000,0.581151,0.820600,-0.000000,0.513873,0.788524,-0.004649,0.466663,0.694765,0.014656,0.454005,0.624732,0.041406,0.470489,0.611260,0.069658,0.506889,0.563019,0.014659,0.486580,0.468141,0.045949,0.483212,0.423457,0.062218,0.482906,0.381834,0.070030,0.547067,0.562692,0.035466,0.508229,0.542844,0.077432,0.493404,0.581667,0.094231,0.493612,0.617072,0.100207,0.572797,0.585445,0.057318,0.533018,0.567873,0.091228,0.518198,0.603037,0.090597,0.517124,0.633207,0.084461,0.590266,0.607105,0.079538,0.555042,0.594523,0.103225,0.541459,0.619164,0.104502,0.539940,0.651313,0.102705
