frame_id,timestamp,contact_label,dist_raw,dist_local,v_n,a_n,sigma_d,v_t,approach_theta,shadow_score,flow_mag,brightness_contact,dist2d_palm_0,dist2d_palm_5,dist2d_palm_9,dist2d_palm_13,dist2d_palm_17,hull_overlap_ratio,lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
0,1777889589.256982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1777889589.351537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1777889589.419587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1777889589.486253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1777889589.552576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1777889589.619056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1777889589.686153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1777889589.752894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1777889589.818930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1777889589.885197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1777889589.952565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1777889590.019515,,-82.7174,-45.2723,,,,,,6.1603,,116.6404,1117.7315,531.6002,528.4831,600.2107,713.5044,0.441124,-0.010189,0.850759,0.000001,-0.059215,0.724892,-0.032221,-0.079016,0.562251,-0.064549,-0.074976,0.433754,-0.091470,-0.059516,0.336811,-0.120977,-0.027806,0.446862,-0.090655,0.009983,0.251065,-0.143054,0.044423,0.124725,-0.178442,0.076229,0.017132,-0.203324,0.029281,0.483493,-0.102842,0.094772,0.286932,-0.154307,0.155497,0.171774,-0.184919,0.208154,0.076323,-0.205645,0.079236,0.562739,-0.115339,0.153917,0.385787,-0.165867,0.216323,0.276854,-0.185498,0.268848,0.184946,-0.197196,0.124723,0.662930,-0.128362,0.175601,0.548644,-0.171022,0.215215,0.474682,-0.181172,0.251399,0.405658,-0.186707
12,1777889590.086288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1777889590.153178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1777889590.202330,,-90.1318,-48.6182,,,,,,5.9766,,115.6620,1151.9979,547.0034,551.0782,627.9636,746.2320,0.398463,-0.025133,0.834204,0.000001,-0.068804,0.686175,-0.020806,-0.068022,0.520092,-0.052024,-0.029963,0.391874,-0.078696,0.013759,0.296231,-0.108981,-0.045168,0.457765,-0.108691,-0.009286,0.256485,-0.166964,0.027863,0.126823,-0.202654,0.062936,0.022381,-0.226463,0.005251,0.513028,-0.126831,0.072516,0.311785,-0.186538,0.133704,0.191850,-0.216940,0.186176,0.100414,-0.236215,0.055869,0.600997,-0.142392,0.128777,0.415109,-0.196638,0.189650,0.302493,-0.215554,0.239700,0.211210,-0.225830,0.105027,0.699728,-0.156739,0.157034,0.578727,-0.202530,0.193599,0.502056,-0.213812,0.225617,0.433646,-0.218874
15,1777889590.286047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1777889590.351859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1777889590.419194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1777889590.486825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1777889590.552749,,-78.9210,-15.1709,,,,,,5.7935,,168.1073,1640.3336,1339.5572,1216.8036,1157.1842,1144.5816,0.000000,0.866847,1.230077,0.000001,0.923690,1.034973,-0.050341,0.921040,0.836273,-0.086848,0.889879,0.682968,-0.117109,0.875258,0.542169,-0.150146,0.862530,0.773030,-0.100778,0.798786,0.556825,-0.151032,0.743235,0.438079,-0.177698,0.691639,0.347666,-0.195535,0.782411,0.853963,-0.101995,0.699626,0.637601,-0.150731,0.636179,0.508528,-0.177883,0.582739,0.407332,-0.196193,0.716352,0.965081,-0.105468,0.623000,0.783975,-0.150072,0.559117,0.667793,-0.177060,0.507866,0.564325,-0.194854,0.666693,1.085998,-0.110631,0.592057,0.964474,-0.152229,0.544440,0.878179,-0.173601,0.506097,0.789607,-0.186632
