frame_id,timestamp,contact_label,dist_raw,v_n,sigma_d,v_t,shadow_score,flow_mag,lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
0,1776955312.365427,0,,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1776955312.621469,0,,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1776955312.704336,0,,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1776955312.789046,0,,0.0000,0.0000,0.0000,0.0000,0.0000,0.891767,0.860154,0.000000,0.932279,0.738939,-0.031206,0.939785,0.591915,-0.039409,0.929416,0.464690,-0.045864,0.924610,0.364005,-0.050497,0.865221,0.457793,-0.003051,0.834265,0.324158,-0.018191,0.808492,0.250175,-0.035890,0.782365,0.190427,-0.049653,0.817405,0.480583,-0.001512,0.768346,0.347499,-0.012461,0.734487,0.277538,-0.029134,0.702972,0.227104,-0.041701,0.781217,0.529859,-0.005271,0.729024,0.421747,-0.017563,0.695811,0.361739,-0.029409,0.666008,0.311322,-0.037999,0.754320,0.601524,-0.012984,0.710525,0.526570,-0.025082,0.683736,0.483239,-0.029324,0.659798,0.442801,-0.031401
4,1776955313.037986,0,,0.0000,0.0000,0.0000,0.0000,0.0000,0.808890,0.793147,0.000001,0.841765,0.628218,-0.031428,0.838819,0.467278,-0.033266,0.822326,0.332884,-0.033505,0.818938,0.225911,-0.031426,0.755522,0.373686,0.020986,0.720186,0.255887,0.015094,0.690762,0.184501,0.000083,0.661750,0.119414,-0.013332,0.710238,0.405519,0.026175,0.658676,0.289204,0.022319,0.620665,0.217738,0.005165,0.587795,0.157407,-0.008611,0.677545,0.463154,0.024222,0.625232,0.365468,0.015515,0.588223,0.302076,-0.000479,0.556222,0.245116,-0.012052,0.655098,0.538775,0.018048,0.611726,0.468440,0.007628,0.582234,0.425097,-0.000513,0.555723,0.378090,-0.005546
5,1776955313.138775,0,,0.0000,0.0000,0.0000,0.0000,0.0000,0.808725,0.796122,0.000000,0.839467,0.657374,-0.029145,0.833288,0.498706,-0.033737,0.816247,0.364407,-0.037420,0.809117,0.256634,-0.039997,0.752208,0.400857,0.007716,0.715081,0.280053,-0.003076,0.684781,0.216178,-0.018845,0.654580,0.158612,-0.032752,0.709172,0.436637,0.009514,0.658940,0.321460,0.000788,0.622372,0.259011,-0.016996,0.587178,0.204584,-0.032028,0.678956,0.496657,0.005236,0.626221,0.404321,-0.006068,0.590260,0.343045,-0.021326,0.556399,0.283435,-0.034210,0.657826,0.571873,-0.003020,0.613873,0.506181,-0.014946,0.584497,0.464145,-0.023308,0.556864,0.419113,-0.030302
6,1776955313.215792,0,,0.0000,0.0000,0.0000,0.0000,0.0000,0.823847,0.804756,0.000000,0.851637,0.667342,-0.027618,0.841489,0.510969,-0.030857,0.821221,0.380995,-0.033363,0.813963,0.277264,-0.034242,0.759219,0.417362,0.011585,0.720396,0.302945,0.002585,0.689052,0.242031,-0.011875,0.658712,0.191217,-0.024184,0.718991,0.456415,0.013461,0.666132,0.342807,0.006729,0.627147,0.280176,-0.008922,0.591444,0.231002,-0.021572,0.690796,0.516690,0.009263,0.635942,0.426321,0.000224,0.599205,0.369615,-0.012656,0.566059,0.317473,-0.023031,0.670111,0.592187,0.001104,0.623685,0.528291,-0.008673,0.593337,0.487864,-0.015068,0.565992,0.443820,-0.020049
7,1776955313.372817,0,,0.0000,0.0000,0.0000,0.0000,0.0000,0.855429,0.828899,0.000000,0.884530,0.695507,-0.029395,0.879936,0.538110,-0.035641,0.861975,0.412291,-0.040446,0.848723,0.313156,-0.043793,0.796049,0.435305,-0.002243,0.756876,0.322856,-0.016245,0.727547,0.260556,-0.032841,0.699208,0.204999,-0.046143,0.751788,0.471904,-0.001266,0.698438,0.359680,-0.011162,0.661193,0.295938,-0.026602,0.626436,0.242409,-0.038809,0.720911,0.531432,-0.005655,0.666681,0.440376,-0.017080,0.631674,0.385796,-0.028810,0.598821,0.331093,-0.037992,0.700282,0.609205,-0.013997,0.653228,0.546756,-0.025785,0.623803,0.508704,-0.031172,0.596496,0.466230,-0.034706
8,1776955313.454799,0,,0.0000,0.0000,0.0000,0.0000,0.0000,0.891852,0.852844,0.000000,0.924830,0.721192,-0.030228,0.922983,0.564744,-0.035256,0.910571,0.432189,-0.038631,0.902206,0.330290,-0.040725,0.839693,0.457976,0.001610,0.805202,0.339647,-0.010266,0.776816,0.273365,-0.026298,0.748002,0.212315,-0.040130,0.794158,0.488437,0.004045,0.743060,0.371750,-0.005294,0.707227,0.305137,-0.021463,0.672607,0.248741,-0.034301,0.761529,0.545097,0.000962,0.708047,0.451074,-0.010600,0.673345,0.393562,-0.023683,0.639406,0.335740,-0.033920,0.739484,0.620860,-0.006088,0.695253,0.555484,-0.018368,0.667388,0.514752,-0.024851,0.640508,0.468515,-0.029359
9,1776955313.538579,0,,0.0000,0.0000,0.0000,0.0000,0.0000,0.889896,0.846982,0.000000,0.921657,0.713784,-0.024177,0.917305,0.559681,-0.026608,0.904004,0.430179,-0.028864,0.900094,0.331666,-0.029733,0.834457,0.456216,0.011890,0.798788,0.340216,0.004593,0.769474,0.276763,-0.008333,0.741452,0.222046,-0.019940,0.791273,0.490003,0.012469,0.740809,0.373989,0.008065,0.704893,0.308715,-0.005705,0.671967,0.254721,-0.017518,0.760405,0.545738,0.007621,0.708101,0.450655,0.000686,0.673877,0.390708,-0.011251,0.642193,0.335130,-0.021724,0.737827,0.618202,-0.000843,0.694628,0.553857,-0.009044,0.666919,0.513675,-0.014401,0.641195,0.471883,-0.018881
