combo,A_mean,A_std,B_mean,B_std,dAUC_BminusA,Transfer_mean,Transfer_std,dAUC_TminusB
d_only,0.4988,0.0149,0.6878,0.1031,0.189,0.5251,0.08,-0.1626
d+v_n,0.4978,0.0128,0.6944,0.1096,0.1966,0.5201,0.0867,-0.1742
d+sigma_d,0.4769,0.0117,0.7843,0.0015,0.3074,0.5195,0.0922,-0.2647
d+v_n+sigma_d,0.483,0.0033,0.7892,0.0136,0.3062,0.5183,0.0917,-0.2708
d+a_n,0.4929,0.0158,0.6846,0.1007,0.1917,0.5165,0.0829,-0.1682
d+theta,0.801,0.0029,0.6834,0.1025,-0.1176,0.4799,0.0026,-0.2035
d+shadow,0.591,0.0548,0.8187,0.0624,0.2277,0.5003,0.1175,-0.3184
d+flow,0.7375,0.1434,0.7434,0.1528,0.0059,0.3999,0.1275,-0.3434
d+brightness,0.7129,0.0786,0.7635,0.0714,0.0506,0.5771,0.1459,-0.1865
d+dist2d,0.9425,0.0064,0.9105,0.0204,-0.032,0.5972,0.203,-0.3133
d+overlap,0.6,0.0959,0.817,0.0274,0.217,0.5067,0.0953,-0.3102
fusion,0.9683,0.0026,0.9582,0.0131,-0.0101,0.6452,0.2122,-0.313
